aX,aY,aZ,gX,gY,gZ
0.139,0.564,0.765,3.174,-0.916,0.000
0.141,0.565,0.763,3.052,-0.916,-0.061
0.139,0.567,0.760,3.296,-1.160,-0.244
0.141,0.567,0.758,3.662,-1.221,-0.061
0.142,0.565,0.760,4.089,-1.282,0.000
0.141,0.564,0.760,4.395,-1.465,0.061
0.140,0.563,0.762,4.395,-1.099,0.244
0.141,0.563,0.763,4.089,-0.671,0.427
0.145,0.565,0.764,3.967,-0.427,0.366
0.145,0.566,0.766,4.028,-0.427,0.183
0.145,0.567,0.766,4.211,-0.793,0.244
0.142,0.567,0.767,4.456,-1.099,0.366
0.142,0.567,0.769,4.272,-0.732,0.549
0.141,0.565,0.770,4.211,-0.366,0.671
0.143,0.563,0.772,4.028,-0.244,0.610
0.143,0.564,0.775,3.723,-0.183,0.854
0.146,0.563,0.775,3.601,-0.366,1.099
0.142,0.563,0.773,3.662,-0.793,1.160
0.139,0.563,0.772,3.906,-1.221,1.099
0.136,0.560,0.770,4.333,-1.648,0.732
0.130,0.559,0.766,4.578,-1.709,0.549
0.126,0.559,0.766,4.395,-1.343,0.366
0.132,0.556,0.765,3.906,-0.610,0.366
0.136,0.559,0.758,3.479,-0.061,0.488
0.066,0.517,0.845,3.052,0.122,0.366
0.217,0.595,0.710,3.357,0.183,0.244
0.124,0.565,0.724,4.211,-0.671,0.061
0.065,0.511,0.861,4.517,-1.038,-0.061
0.240,0.625,0.656,4.822,-1.221,-0.305
0.068,0.541,0.789,5.493,-2.075,-0.305
0.106,0.536,0.835,5.615,-1.648,-0.244
0.232,0.625,0.658,5.493,-1.587,-0.305
0.050,0.524,0.826,5.554,-1.587,-0.366
0.142,0.549,0.816,4.883,-0.427,-0.244
0.232,0.618,0.670,4.700,-0.183,-0.122
0.055,0.510,0.864,4.517,0.122,-0.305
0.191,0.567,0.796,4.150,0.427,-0.122
0.217,0.610,0.685,4.272,-0.488,0.122
0.046,0.508,0.882,4.395,-1.160,0.122
0.205,0.587,0.760,4.150,-1.038,0.244
0.179,0.599,0.697,3.845,-1.221,0.366
0.060,0.521,0.860,3.235,-0.732,0.732
0.177,0.578,0.763,2.869,0.000,1.099
0.158,0.576,0.745,2.930,-0.366,1.221
0.129,0.556,0.777,3.113,-0.671,1.099
0.143,0.559,0.768,3.296,-0.916,1.160
0.140,0.559,0.760,3.601,-1.038,0.977
0.132,0.554,0.761,3.601,-1.099,0.854
0.133,0.558,0.758,3.418,-0.793,0.488
0.134,0.559,0.758,3.662,-0.427,0.305
0.137,0.562,0.761,3.723,-0.305,0.366
0.139,0.562,0.762,3.723,-0.305,0.610
0.138,0.559,0.765,4.028,-0.610,0.793
0.136,0.559,0.767,4.150,-1.099,0.732
